,TIPO DE CARTÃO,ENTIDADE VINCULADA,UNIDADE GESTORA,NOME PORTADOR,DATA TRANSAÇÃO,MES,ANO,VALOR
0,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,29/07/2019,9,2019,4.0
1,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,07/03/2019,4,2019,12.0
2,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,10/12/2018,1,2019,13.98
3,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,11/12/2018,1,2019,14.2
4,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,28/06/2019,8,2019,14.2
5,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,21/02/2019,3,2019,14.2
6,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,03/04/2019,5,2019,14.2
7,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,07/12/2018,1,2019,14.2
8,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,30/05/2019,7,2019,14.2
9,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,ROBERTO BUENO DE ASSUNCAO,27/09/2019,11,2019,14.88
10,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,19/12/2018,1,2019,15.25
11,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,21/01/2019,2,2019,15.25
12,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,02/04/2019,5,2019,15.25
13,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,04/12/2018,1,2019,16.1
14,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,27/11/2018,1,2019,16.1
15,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,18/03/2019,4,2019,20.0
16,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,20/03/2019,4,2019,20.0
17,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,08/04/2019,5,2019,25.0
18,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,17/07/2019,8,2019,26.9
19,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,ROBERTO BUENO DE ASSUNCAO,15/07/2019,8,2019,28.4
20,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LEANDRO AUGUSTO ANDERSON,12/07/2019,8,2019,30.0
21,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,08/04/2019,5,2019,32.2
22,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110746 - INTERVENCAO FEDERAL RIO DE JANEIRO,ELVANDIR MACHADO TAUGEN,30/04/2019,6,2019,33.0
23,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110746 - INTERVENCAO FEDERAL RIO DE JANEIRO,ELVANDIR MACHADO TAUGEN,26/02/2019,4,2019,33.4
24,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,CARLOS AUGUSTO PISSUTTI,21/01/2019,2,2019,38.35
25,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,ROBERTO BUENO DE ASSUNCAO,04/09/2019,10,2019,39.9
26,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,20/12/2018,1,2019,40.0
27,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110746 - INTERVENCAO FEDERAL RIO DE JANEIRO,ELVANDIR MACHADO TAUGEN,23/09/2019,10,2019,42.0
28,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,12/04/2019,5,2019,42.6
29,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,05/02/2019,3,2019,43.65
30,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,02/10/2019,11,2019,45.01
31,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,14/08/2019,9,2019,48.0
32,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,23/05/2019,6,2019,48.2
33,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,16/10/2019,11,2019,49.8
34,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,11/07/2019,8,2019,50.0
35,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,JAITON CARDOSO DOS SANTOS,20/05/2019,6,2019,50.0
36,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,04/04/2019,5,2019,50.0
37,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,29/03/2019,5,2019,50.0
38,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,12/04/2019,5,2019,50.0
39,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,14/06/2019,7,2019,51.6
40,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,03/07/2019,8,2019,52.75
41,Cartão de Pagamento do Governo Federal - CPGF,20116 - Fundo de Imprensa Nacional,110245 - FUNDO DE IMPRENSA NACIONAL/EXEC.ORC.FINANC.,NUBIA STEFANYA ANTUNES FRANCA,16/08/2019,9,2019,54.58
42,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,09/03/2019,4,2019,55.02
43,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,ROBERTO BUENO DE ASSUNCAO,26/09/2019,11,2019,56.97
44,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,21/03/2019,4,2019,58.0
45,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,13/02/2019,3,2019,58.5
46,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,30/04/2019,6,2019,59.4
47,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,07/08/2019,9,2019,61.8
48,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,22/03/2019,4,2019,63.04
49,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,14/09/2019,10,2019,63.75
50,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,ROBERTO BUENO DE ASSUNCAO,03/09/2019,10,2019,64.8
51,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,MARIA LUCIA DE JESUS SILVA,20/11/2019,12,2019,65.0
52,Cartão de Pagamento do Governo Federal - CPGF,60000 - Gabinete da Vice-Presidência da República,110101 - GABINETE DA VICE-PRESIDENCIA DA REPUBLICA,NILO DA LUZ GUTEMBERG,05/09/2019,10,2019,65.0
53,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,08/05/2019,6,2019,67.5
54,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,10/10/2019,11,2019,68.98
55,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,27/05/2019,6,2019,69.3
56,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,29/10/2019,12,2019,75.96
57,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,THIAGO RAMOS DE SOUZA,23/05/2019,6,2019,76.0
58,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,CARLOS AUGUSTO PISSUTTI,19/01/2019,2,2019,76.28
59,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110746 - INTERVENCAO FEDERAL RIO DE JANEIRO,ELVANDIR MACHADO TAUGEN,16/08/2019,9,2019,78.99
60,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,23/01/2019,2,2019,80.0
61,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,10/04/2019,5,2019,80.0
62,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,LUCIANO BUARQUE BARBOSA,14/12/2018,1,2019,80.0
63,Cartão de Pagamento do Governo Federal - CPGF,24208 - Instituto Nacional de Tecnologia da Informação,243001 - INSTITUTO NAC.DE TECNOLOGIA DA INFORMACAO ITI,JORGE LUIS RODRIGUES,07/12/2018,1,2019,80.0
64,Cartão de Pagamento do Governo Federal - CPGF,20101 - Presidência da República,110001 - SECRETARIA ESPECIAL DE ADMINISTRACAO/PR,RONALDO DA SILVA FERNANDES,27/09/2019,11,2019,80.13
