0,1,2,3,4,5,6
7,25,30,35,38,40,49
11,12,21,27,32,43,49
3,11,24,25,29,32,42
13,23,26,27,28,38,47
9,14,16,33,39,46,49
1,3,4,7,13,14,19
1,8,10,28,32,33,41
1,11,12,17,21,30,44
2,4,11,16,23,26,42
2,7,18,20,28,30,37
3,7,31,33,39,44,49
3,9,13,18,20,28,32
6,7,12,20,43,47,49
7,21,29,44,46,49,50
12,17,28,36,40,47,48
13,14,22,27,29,43,45
3,21,22,26,28,44,49
1,14,25,26,34,39,49
2,3,9,10,23,37,40
3,5,19,28,33,39,40
4,5,19,26,31,42,45
4,6,14,23,28,29,45
5,9,14,21,30,32,41
12,16,22,23,30,38,49
16,25,29,33,38,43,46
17,21,27,32,45,46,49
1,3,4,11,12,20,30
2,4,13,26,31,36,47
3,11,21,23,32,33,43
5,14,27,29,33,34,42
10,17,24,25,26,33,41
14,15,20,21,26,27,35
9,16,19,24,27,34,40
1,15,25,30,36,38,47
3,11,20,31,37,43,45
10,16,34,37,40,41,46
12,17,30,32,37,41,45
7,18,22,35,37,43,45
2,8,10,11,44,46,50
10,19,31,34,36,38,43
4,7,8,22,24,30,49
9,26,30,35,37,42,50
14,17,25,27,31,32,34
1,13,14,17,25,28,41
5,6,7,17,26,29,42
4,6,7,10,17,27,44
2,13,31,32,34,40,47
13,30,33,42,45,49,50
2,8,16,17,19,26,42
2,10,11,17,19,32,42
7,13,18,30,33,37,41
1,5,17,18,38,41,48
2,8,10,14,21,36,40
2,11,19,33,44,45,47
12,26,28,32,41,43,50
5,9,27,30,37,49,50
7,12,15,34,37,39,42
17,29,30,31,32,44,47
21,32,38,41,43,46,47
14,17,20,24,25,38,48
3,6,10,29,36,37,40
3,7,9,16,33,36,50
7,11,13,30,38,40,43
5,16,19,21,23,31,36
2,10,18,19,25,42,48
4,8,15,39,40,42,48
2,5,8,18,23,31,35
1,14,19,22,31,37,49
2,5,14,24,30,34,35
2,6,19,23,26,34,45
2,7,26,35,46,47,50
3,26,28,41,42,44,46
4,7,20,26,27,42,46
4,8,20,27,29,36,50
4,18,23,32,34,41,42
4,18,29,35,38,42,45
5,6,23,26,30,31,41
6,7,8,13,30,41,49
7,16,20,28,30,39,42
14,15,18,34,36,38,45
5,13,28,35,41,49,50
1,2,3,4,23,27,34
2,7,9,17,40,42,43
3,14,32,35,36,39,42
5,6,7,15,24,28,37
7,20,24,25,29,32,48
10,23,25,36,38,42,48
11,13,16,30,31,36,49
26,27,29,34,36,48,50
4,8,11,14,15,34,45
1,6,12,14,19,38,47
3,10,12,31,34,42,49
4,14,30,36,40,47,49
7,17,19,24,26,35,44
11,13,18,22,34,45,46
15,20,25,29,42,45,47
3,6,10,26,29,35,45
1,5,6,11,12,28,45
2,19,27,35,37,42,46
3,9,10,33,38,40,43
7,8,14,32,38,42,50
17,24,27,33,38,41,48
3,6,7,16,21,27,34
6,15,19,26,30,35,47
11,28,38,40,43,45,48
5,8,31,36,41,42,43
1,2,4,10,27,33,45
3,11,23,26,31,42,50
9,10,13,25,41,47,49
1,24,26,29,30,45,50
2,6,21,31,34,39,45
5,16,18,33,37,38,39
1,14,17,20,28,32,38
14,18,19,32,35,38,41
14,15,24,43,44,48,49
4,5,9,15,24,36,48
4,12,18,19,22,25,44
5,12,13,32,36,40,48
7,8,13,21,35,38,45
2,13,15,19,38,39,46
13,17,24,26,33,46,48
2,6,12,13,17,36,48
11,21,32,33,38,40,44
10,14,25,26,38,41,50
1,2,3,8,17,22,39
1,3,12,16,38,39,46
1,7,12,14,15,36,46
1,9,15,24,27,31,34
2,3,21,30,31,39,43
4,7,17,19,26,34,39
4,15,17,23,29,38,43
5,7,15,32,38,44,49
6,11,13,28,38,41,45
6,11,17,24,32,41,48
7,8,16,25,32,33,39
16,26,28,30,31,44,48
19,23,24,25,34,44,48
23,28,33,42,46,47,48
6,14,35,37,40,43,46
1,2,5,10,13,35,45
1,12,17,18,22,31,38
2,28,29,36,38,44,45
4,6,7,12,34,44,48
4,15,21,27,31,37,40
7,8,10,17,24,37,49
12,18,27,31,44,48,50
6,17,22,23,32,37,47
1,8,9,27,35,47,49
3,11,28,35,41,47,48
6,7,10,15,16,24,48
8,14,19,34,40,45,46
10,13,18,33,36,45,47
2,7,18,33,42,43,44
5,14,18,29,32,40,43
7,11,22,28,33,44,49
1,2,5,14,28,36,44
1,4,9,33,39,45,49
1,4,10,17,20,30,48
1,4,23,28,44,48,50
1,5,10,18,27,30,39
1,7,17,20,26,27,34
1,8,10,19,29,48,49
1,10,14,15,39,43,46
1,12,13,15,21,33,34
1,15,16,29,31,32,46
1,16,17,21,22,41,50
1,16,19,27,37,39,49
1,18,26,29,41,43,50
1,21,23,24,28,37,45
2,3,19,26,29,45,47
2,7,10,22,31,37,41
2,10,13,19,37,46,49
2,17,19,21,28,31,41
3,4,6,7,32,33,37
3,4,6,9,31,32,46
3,4,6,10,15,21,45
3,4,15,16,17,45,46
3,6,8,17,29,39,43
3,6,13,14,19,22,44
3,12,14,23,38,40,41
4,5,7,26,34,43,50
4,5,13,18,34,39,44
4,6,17,26,32,33,45
4,8,12,28,30,46,48
4,9,15,22,23,32,38
4,10,14,21,37,42,48
4,11,13,16,23,42,48
4,11,13,20,26,34,40
4,17,18,22,24,28,49
4,18,21,27,32,38,44
5,6,7,13,22,27,47
5,8,12,14,25,29,43
5,8,12,28,35,41,49
5,9,11,12,25,31,39
5,10,14,17,20,33,46
5,11,13,27,44,47,49
5,11,21,25,30,34,42
5,17,27,39,41,42,45
5,18,24,26,30,32,35
5,20,24,29,32,35,43
6,8,24,30,38,39,50
6,12,15,16,32,37,49
6,15,25,26,39,43,49
7,8,15,19,36,47,49
7,8,31,33,40,45,46
7,19,23,29,30,31,32
8,15,21,22,23,25,31
8,21,22,26,30,40,50
9,11,14,23,36,41,50
9,13,25,37,43,45,48
9,13,27,34,37,48,50
9,18,20,23,25,27,47
9,19,29,32,36,45,48
10,15,18,21,27,47,50
10,17,22,36,45,47,50
13,16,18,22,29,40,49
13,17,20,23,24,30,31
13,20,24,28,30,42,50
14,16,19,28,39,43,47
14,18,25,30,34,44,47
15,16,26,34,38,49,50
15,18,31,33,40,41,44
15,24,27,30,33,36,43
22,27,30,32,36,37,42
22,27,34,36,45,46,47
11,14,15,24,34,43,47
1,3,9,10,27,32,46
1,4,10,11,15,36,49
1,4,18,22,28,40,41
1,5,10,11,26,44,49
1,6,11,23,27,34,43
1,6,17,20,23,27,35
1,6,23,24,32,43,50
1,7,14,18,23,27,34
1,10,33,39,40,48,50
1,13,34,35,38,39,50
2,3,10,28,43,47,48
2,3,12,15,17,26,42
2,3,12,17,25,28,46
2,3,17,27,39,40,50
2,5,24,30,37,39,41
2,7,11,14,23,28,41
2,14,23,30,38,44,48
2,16,20,33,44,46,47
3,4,5,19,24,31,36
3,4,8,9,14,26,45
3,6,19,24,31,40,48
3,7,20,24,34,44,46
3,9,34,35,46,48,49
3,11,21,31,32,43,48
3,13,22,26,28,34,48
3,15,20,21,29,32,44
4,5,6,10,20,36,48
4,8,11,18,34,41,46
4,14,22,29,34,35,46
4,18,24,25,28,29,41
4,20,26,34,44,45,46
5,7,9,22,39,43,50
5,9,30,33,35,37,50
5,10,12,35,37,44,47
5,12,14,18,24,41,46
5,12,20,24,33,43,50
5,20,28,35,40,43,46
6,12,18,26,29,44,47
6,13,16,17,28,29,50
6,13,16,25,28,39,49
6,20,25,27,32,44,47
6,22,24,28,38,45,47
7,9,11,21,23,42,50
7,12,14,17,30,40,47
7,12,19,26,32,40,46
7,13,29,30,38,49,50
7,14,15,18,24,32,39
7,17,23,35,42,43,46
7,18,28,32,44,45,48
7,23,31,37,38,41,45
8,10,13,28,31,41,43
8,11,13,18,35,39,44
8,13,15,24,29,31,33
8,14,24,28,35,46,48
