0,1,2,3,4,5,6
11,12,21,27,32,43,49
03,11,24,25,29,32,42
13,23,26,27,28,38,47
09,14,16,33,39,46,49
01,03,04,07,13,14,19
01,08,10,28,32,33,41
01,11,12,17,21,30,44
02,04,11,16,23,26,42
02,07,18,20,28,30,37
03,07,31,33,39,44,49
03,09,13,18,20,28,32
06,07,12,20,43,47,49
07,21,29,44,46,49,50
12,17,28,36,40,47,48
13,14,22,27,29,43,45
03,21,22,26,28,44,49
01,14,25,26,34,39,49
02,03,09,10,23,37,40
03,05,19,28,33,39,40
04,05,19,26,31,42,45
04,06,14,23,28,29,45
05,09,14,21,30,32,41
12,16,22,23,30,38,49
16,25,29,33,38,43,46
17,21,27,32,45,46,49
01,03,04,11,12,20,30
02,04,13,26,31,36,47
03,11,21,23,32,33,43
05,14,27,29,33,34,42
10,17,24,25,26,33,41
14,15,20,21,26,27,35
09,16,19,24,27,34,40
01,15,25,30,36,38,47
03,11,20,31,37,43,45
10,16,34,37,40,41,46
12,17,30,32,37,41,45
07,18,22,35,37,43,45
02,08,10,11,44,46,50
10,19,31,34,36,38,43
04,07,08,22,24,30,49
09,26,30,35,37,42,50
14,17,25,27,31,32,34
01,13,14,17,25,28,41
05,06,07,17,26,29,42
04,06,07,10,17,27,44
02,13,31,32,34,40,47
13,30,33,42,45,49,50
02,08,16,17,19,26,42
02,10,11,17,19,32,42
07,13,18,30,33,37,41
01,05,17,18,38,41,48
02,08,10,14,21,36,40
02,11,19,33,44,45,47
12,26,28,32,41,43,50
05,09,27,30,37,49,50
07,12,15,34,37,39,42
17,29,30,31,32,44,47
21,32,38,41,43,46,47
14,17,20,24,25,38,48
03,06,10,29,36,37,40
03,07,09,16,33,36,50
07,11,13,30,38,40,43
05,16,19,21,23,31,36
02,10,18,19,25,42,48
04,08,15,39,40,42,48
02,05,08,18,23,31,35
01,14,19,22,31,37,49
02,05,14,24,30,34,35
02,06,19,23,26,34,45
02,07,26,35,46,47,50
03,26,28,41,42,44,46
04,07,20,26,27,42,46
04,08,20,27,29,36,50
04,18,23,32,34,41,42
04,18,29,35,38,42,45
05,06,23,26,30,31,41
06,07,08,13,30,41,49
07,16,20,28,30,39,42
14,15,18,34,36,38,45
05,13,28,35,41,49,50
01,02,03,04,23,27,34
02,07,09,17,40,42,43
03,14,32,35,36,39,42
05,06,07,15,24,28,37
07,20,24,25,29,32,48
10,23,25,36,38,42,48
11,13,16,30,31,36,49
26,27,29,34,36,48,50
04,08,11,14,15,34,45
01,06,12,14,19,38,47
03,10,12,31,34,42,49
04,14,30,36,40,47,49
07,17,19,24,26,35,44
11,13,18,22,34,45,46
15,20,25,29,42,45,47
03,06,10,26,29,35,45
01,05,06,11,12,28,45
02,19,27,35,37,42,46
03,09,10,33,38,40,43
07,08,14,32,38,42,50
17,24,27,33,38,41,48
03,06,07,16,21,27,34
06,15,19,26,30,35,47
11,28,38,40,43,45,48
05,08,31,36,41,42,43
01,02,04,10,27,33,45
03,11,23,26,31,42,50
09,10,13,25,41,47,49
01,24,26,29,30,45,50
02,06,21,31,34,39,45
05,16,18,33,37,38,39
01,14,17,20,28,32,38
14,18,19,32,35,38,41
14,15,24,43,44,48,49
04,05,09,15,24,36,48
04,12,18,19,22,25,44
05,12,13,32,36,40,48
07,08,13,21,35,38,45
02,13,15,19,38,39,46
13,17,24,26,33,46,48
02,06,12,13,17,36,48
11,21,32,33,38,40,44
10,14,25,26,38,41,50
01,02,03,08,17,22,39
01,03,12,16,38,39,46
01,07,12,14,15,36,46
01,09,15,24,27,31,34
02,03,21,30,31,39,43
04,07,17,19,26,34,39
04,15,17,23,29,38,43
05,07,15,32,38,44,49
06,11,13,28,38,41,45
06,11,17,24,32,41,48
07,08,16,25,32,33,39
16,26,28,30,31,44,48
19,23,24,25,34,44,48
23,28,33,42,46,47,48
06,14,35,37,40,43,46
01,02,05,10,13,35,45
01,12,17,18,22,31,38
02,28,29,36,38,44,45
04,06,07,12,34,44,48
04,15,21,27,31,37,40
07,08,10,17,24,37,49
12,18,27,31,44,48,50
06,17,22,23,32,37,47
01,08,09,27,35,47,49
03,11,28,35,41,47,48
06,07,10,15,16,24,48
08,14,19,34,40,45,46
10,13,18,33,36,45,47
02,07,18,33,42,43,44
05,14,18,29,32,40,43
07,11,22,28,33,44,49
01,02,05,14,28,36,44
01,04,09,33,39,45,49
01,04,10,17,20,30,48
01,04,23,28,44,48,50
01,05,10,18,27,30,39
01,07,17,20,26,27,34
01,08,10,19,29,48,49
01,10,14,15,39,43,46
01,12,13,15,21,33,34
01,15,16,29,31,32,46
01,16,17,21,22,41,50
01,16,19,27,37,39,49
01,18,26,29,41,43,50
01,21,23,24,28,37,45
02,03,19,26,29,45,47
02,07,10,22,31,37,41
02,10,13,19,37,46,49
02,17,19,21,28,31,41
03,04,06,07,32,33,37
03,04,06,09,31,32,46
03,04,06,10,15,21,45
03,04,15,16,17,45,46
03,06,08,17,29,39,43
03,06,13,14,19,22,44
03,12,14,23,38,40,41
04,05,07,26,34,43,50
04,05,13,18,34,39,44
04,06,17,26,32,33,45
04,08,12,28,30,46,48
04,09,15,22,23,32,38
04,10,14,21,37,42,48
04,11,13,16,23,42,48
04,11,13,20,26,34,40
04,17,18,22,24,28,49
04,18,21,27,32,38,44
05,06,07,13,22,27,47
05,08,12,14,25,29,43
05,08,12,28,35,41,49
05,09,11,12,25,31,39
05,10,14,17,20,33,46
05,11,13,27,44,47,49
05,11,21,25,30,34,42
05,17,27,39,41,42,45
05,18,24,26,30,32,35
05,20,24,29,32,35,43
06,08,24,30,38,39,50
06,12,15,16,32,37,49
06,15,25,26,39,43,49
07,08,15,19,36,47,49
07,08,31,33,40,45,46
07,19,23,29,30,31,32
08,15,21,22,23,25,31
08,21,22,26,30,40,50
09,11,14,23,36,41,50
09,13,25,37,43,45,48
09,13,27,34,37,48,50
09,18,20,23,25,27,47
09,19,29,32,36,45,48
10,15,18,21,27,47,50
10,17,22,36,45,47,50
13,16,18,22,29,40,49
13,17,20,23,24,30,31
13,20,24,28,30,42,50
14,16,19,28,39,43,47
14,18,25,30,34,44,47
15,16,26,34,38,49,50
15,18,31,33,40,41,44
15,24,27,30,33,36,43
22,27,30,32,36,37,42
22,27,34,36,45,46,47
11,14,15,24,34,43,47
01,03,09,10,27,32,46
01,04,10,11,15,36,49
01,04,18,22,28,40,41
01,05,10,11,26,44,49
01,06,11,23,27,34,43
01,06,17,20,23,27,35
01,06,23,24,32,43,50
01,07,14,18,23,27,34
01,10,33,39,40,48,50
01,13,34,35,38,39,50
02,03,10,28,43,47,48
02,03,12,15,17,26,42
02,03,12,17,25,28,46
02,03,17,27,39,40,50
02,05,24,30,37,39,41
02,07,11,14,23,28,41
02,14,23,30,38,44,48
02,16,20,33,44,46,47
03,04,05,19,24,31,36
03,04,08,09,14,26,45
03,06,19,24,31,40,48
03,07,20,24,34,44,46
03,09,34,35,46,48,49
03,11,21,31,32,43,48
03,13,22,26,28,34,48
03,15,20,21,29,32,44
04,05,06,10,20,36,48
04,08,11,18,34,41,46
04,14,22,29,34,35,46
04,18,24,25,28,29,41
04,20,26,34,44,45,46
05,07,09,22,39,43,50
05,09,30,33,35,37,50
05,10,12,35,37,44,47
05,12,14,18,24,41,46
05,12,20,24,33,43,50
05,20,28,35,40,43,46
06,12,18,26,29,44,47
06,13,16,17,28,29,50
06,13,16,25,28,39,49
06,20,25,27,32,44,47
06,22,24,28,38,45,47
07,09,11,21,23,42,50
07,12,14,17,30,40,47
07,12,19,26,32,40,46
07,13,29,30,38,49,50
07,14,15,18,24,32,39
07,17,23,35,42,43,46
07,18,28,32,44,45,48
07,23,31,37,38,41,45
08,10,13,28,31,41,43
08,11,13,18,35,39,44
08,13,15,24,29,31,33
08,14,24,28,35,46,48
09,13,21,23,37,45,46
09,23,31,32,34,41,49
10,19,37,40,43,45,47
10,20,24,26,31,32,46
10,23,25,26,33,46,49
12,19,22,33,40,45,49
12,21,22,25,34,38,46
13,21,23,38,42,48,50
14,15,34,36,37,43,48
14,26,37,44,46,47,49
16,17,21,25,31,40,49
16,17,24,28,30,31,38
20,23,31,34,42,46,48
22,27,33,34,42,43,44
24,29,31,34,36,44,47
25,29,32,34,36,38,48
02,08,12,13,14,36,43
01,02,07,20,21,33,44
01,02,08,16,17,49,50
01,03,04,20,25,42,50
01,04,09,21,26,29,39
01,04,16,36,44,45,46
01,06,08,10,13,30,43
01,09,18,22,41,47,48
01,10,14,19,21,24,32
01,12,13,15,16,31,44
01,18,22,31,32,40,43
02,03,04,20,35,37,43
02,03,06,18,25,31,43
02,05,21,23,27,31,32
02,08,10,11,17,19,31
02,10,13,14,18,20,31
02,13,21,27,36,37,43
02,13,21,32,37,40,46
02,18,29,41,43,48,50
